annee,evenement,personnage
1642,Pascaline (machine a additionner),Blaise Pascal
1801,Metier a tisser programmable,Joseph Marie Jacquard
1837,Machine analytique (conception),Charles Babbage
1843,Premier algorithme publie,Ada Lovelace
1936,Machine de Turing (calculabilite),Alan Turing
1943,Colossus (dechiffrement),Tommy Flowers
1945,Architecture a programme enregistre,John von Neumann
1947,Invention du transistor,"Bardeen, Brattain, Shockley"
1948,Theorie de l'information,Claude Shannon
1958,Circuit integre,Jack Kilby
1969,Premier message ARPANET,"equipe UCLA / SRI"
1971,Microprocesseur Intel 4004,"Faggin, Hoff, Mazor"
1973,Protocole TCP/IP (conception),"Vint Cerf, Bob Kahn"
1976,Apple I,"Steve Wozniak, Steve Jobs"
1981,IBM PC,equipe IBM
1983,Basculement d'ARPANET sur TCP/IP,Internet naissant
1989,Proposition du World Wide Web,Tim Berners-Lee
1991,Premiere version de Python,Guido van Rossum
1991,Noyau Linux,Linus Torvalds
1998,Fondation de Google,"Larry Page, Sergey Brin"
2007,iPhone (informatique mobile),equipe Apple
2012,Essor de l'apprentissage profond,"Hinton et al."
2022,Assistants d'IA generative grand public,plusieurs equipes
